icmp_seq,time_ms
1,0.262
2,0.301
3,0.237
4,0.3
5,0.331
6,0.341
7,0.252
8,0.22
9,0.269
10,0.334
11,0.282
12,0.299
13,0.315
14,0.279
15,0.239
16,0.198
17,0.242
18,0.224
19,0.323
20,0.248
21,0.215
22,0.266
23,0.325
24,0.278
25,0.272
26,0.288
27,0.324
28,0.347
29,0.247
30,0.586
31,0.335
32,0.468
33,0.258
34,0.337
35,0.844
36,0.361
37,0.298
38,0.365
39,0.304
40,0.716
41,0.352
42,0.576
43,0.292
44,0.291
45,0.502
46,0.217
47,0.275
48,0.26
49,0.275
50,0.23
51,0.276
52,0.352
53,0.308
54,0.277
55,0.301
56,0.301
57,0.25
58,0.228
59,0.241
60,1.48
61,0.293
62,0.254
63,0.296
64,0.236
65,0.334
66,0.333
67,0.315
68,0.276
69,0.259
70,0.292
71,0.304
72,0.313
73,0.42
74,0.291
75,0.242
76,0.304
77,0.344
78,0.374
79,0.354
80,0.352
81,0.305
82,0.245
83,0.257
84,0.226
85,0.287
86,0.334
87,0.272
88,0.242
89,0.345
90,0.356
91,0.34
92,0.325
93,0.277
94,0.311
95,0.345
96,0.311
97,0.229
98,0.213
99,0.337
100,0.261
